Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
-0.8447199866384062,-1.1423338515804355,-1.3111898484386966,-0.6355512505237034,-1.5770669514953934,-2.2354227205923807,-0.8450718090761276,-1.0677329078065712,0.2769174572223025,0.3411670734568087,1.4351903399257657,1.8604605429407417,0.6910486258324303,2.4245659884889537,1.9507862123361337,0.9400814427991647,SEKER
-0.8331969649302199,-1.0132922198771672,-1.400321004235194,-0.4391580678016987,-1.9839972429083226,-3.7635535783735863,-0.8297637689945183,-1.0486677939283462,0.6870849606257123,-0.7012763984128341,0.20172452680334818,2.5232959803322377,0.3775942821853658,3.127617324643288,2.7231692084036534,0.8570874910334376,SEKER
-0.8112386403771568,-1.0780201390075836,-1.2570587348118962,-0.5902056222748644,-1.5260300358348053,-2.092436074237674,-0.812412423781666,-1.0126460322498239,0.5672840184663392,0.5304508601657772,1.258360221978995,1.7854510298966875,0.6132338228798164,2.2564490182073746,1.8654903451634257,1.036840904315877,SEKER
-0.7806805385610519,-1.0276777532415702,-1.2601516238993815,-0.46633881190777526,-1.6835514995768994,-2.5610451192752377,-0.7819303308401685,-0.9631693991135812,0.5176692280967257,0.5172613940704486,1.1889029517994538,2.0301367059812563,0.41437762043976595,2.4338367724381467,2.1453139795392664,1.0848022133360495,SEKER
-0.7725226470862298,-1.0518785858183726,-1.2550716208147166,-0.43909624806055947,-1.7058731190268783,-2.6345704266534473,-0.7736566198989049,-0.9500856093833079,0.4152242742371297,0.4787652290809042,1.5929862479947972,2.05884822134741,0.37803224252346684,2.4431345750655153,2.178447940992172,0.8328385377196281,SEKER
-0.766880105482811,-1.0241686325179338,-1.248813135024483,-0.42977261042106996,-1.704806939665288,-2.6310132115540203,-0.7670577492291522,-0.9410660628578047,0.4332236399942472,0.22798330099946612,1.369388146763754,2.061762936672986,0.360050106288487,2.4317614002207404,2.1818151162673445,1.0048497352589671,SEKER
-0.7618154145255256,-1.0416071939920262,-1.2057964025084844,-0.479942374274063,-1.5622201105129954,-2.193019408428191,-0.7645119920164557,-0.9329909599639439,0.6812466831149646,0.8673909487488322,1.648045323810378,1.8402934707276164,0.4365945577533028,2.1894207436544932,1.9278113775087273,1.0354287309495405,SEKER
-0.7589941437238162,-1.000507664667845,-1.2485109869070559,-0.4012933320397217,-1.737282666906551,-2.741487634631233,-0.759152503147621,-0.92850120867841,0.41775061983155043,0.21704064981466512,1.2307125384828215,2.1170743019249847,0.31440540013842844,2.47004348986158,2.245835627534767,1.1268162793264382,SEKER
-0.7530796724045701,-1.0107790564941916,-1.2843090962130879,-0.3149939880487236,-1.9012205720361084,-3.3778680264336858,-0.7531900717810424,-0.9191084762183369,0.7363809780599215,0.2004790759898517,1.437721956643887,2.3824494883890157,0.19223578639259767,2.739831746120028,2.556241211750049,0.916282858288674,SEKER
-0.7508022610345155,-0.9918465590091088,-1.2144491642426067,-0.41895646696829736,-1.6519217197272376,-2.460146265501528,-0.7520511803964149,-0.9154987451214062,0.9897360351335355,0.4861065661722023,1.2630431482411026,1.9700119348105034,0.3503314732279859,2.295827052981734,2.0761318646707543,0.6991672109616893,SEKER
-0.7508022610345155,-0.9989253025378233,-1.2658999090880645,-0.3401687588184052,-1.8392062761468102,-3.1198831552596453,-0.7526541228941589,-0.9154987451214062,0.6327660851716588,0.6385072512455967,1.341298911505354,2.2836790378280956,0.22437212560316874,2.6267349366094166,2.4400833159544484,1.1167823564147221,SEKER
-0.750122436744947,-1.018551246956357,-1.2553142074071417,-0.3541754882933602,-1.8037325514904556,-2.9822889056468576,-0.7511132698443689,-0.9144219672468052,0.2807635215415919,0.4202842083782394,1.5719693987748369,2.2229917504597623,0.24639184751090729,2.559895792803768,2.369081700071374,1.0434907000614675,SEKER
-0.7493066475974648,-0.98333903555711,-1.2242801000612908,-0.4005870075278743,-1.6921241729945014,-2.5890491512745677,-0.7493379391565673,-0.9131302873221501,0.589375295953931,0.17780165150897795,1.192854921730848,2.0396216000209204,0.317593715865498,2.3643785055167967,2.156252882100957,0.9314201128190831,SEKER
-0.7492726563829865,-1.0050825528261134,-1.230952808813936,-0.3916352741118711,-1.7151478111452865,-2.6657108555004374,-0.7498403912380206,-0.9130764775739634,0.25771694833314596,0.3128521420361825,1.4338249939084946,2.0801623533260694,0.30108447667021754,2.406654293525549,2.2030857640221355,1.0752610668362437,SEKER
-0.746927262583975,-1.0102764238175963,-1.2614354581704272,-0.3325538806348659,-1.8393195082566425,-3.120333345540403,-0.748668003047963,-0.9093657243186013,0.4078658555801594,0.6060666052722258,1.5289755241883909,2.2839868318712124,0.21321968324105386,2.6170014577964573,2.440444127774043,1.1211692821654813,SEKER
